,0,1,2,3,4
 Rotov Vladimir Sergeevich,"('Movement ""Novorossiya"" of Igor Strelkov', 64.6846846846847)","('Movement Novorossiya of Ignor Strelkov', 64.21052631578948)","('Russian Direct Investment Fund', 63.12418300653594)","(""'Federativnoye Gosudarstvo Novorossiya'"", 63.01801801801802)","(' Feodosia Enterprise of oil', 62.67948717948718)"
APRIORI-EXPERT ,"(' Feodosia Enterprise of oil', 61.50516150516151)","(' ""VO Technopromexport""', 61.35338345864662)","(' TPE', 60.317460317460316)","('Prizrak Brigade', 59.94708994708995)","(""Resort 'Nizhnyaya Oreanda'"", 59.85449735449735)"
" ""BUSINESS.NALOGI. RODOVO""","('Aktsionernoe Obshchestvo Genbank', 66.39309764309765)","('P United Shipbuilding Corporation', 64.49792038027333)","(' ""United Shipbuilding Corporation""', 63.64498878730377)","('Luganskiy Ekonomicheskiy Soyuz', 62.853535353535364)","(""Azovsky likerovodochny zavod'"", 62.80663780663781)"
EOPSI Consulting ,"(""People's Union"", 70.31926406926407)","('Peace To Luhansk Region', 66.43673355629876)","('Cossack National Guard', 64.72902097902097)","('Luhansk Economic Union', 63.82575757575758)","('Luganskiy Ekonomicheskiy Soyuz', 63.76984126984128)"
" ""Avtokapital North-West""","('Vostok Battalion', 69.85722610722611)","('Death Battalion', 68.3838383838384)","('Battalion Gvardeysky', 68.35497835497836)","(""Prizrak Battalion 'Ghost' Battalion"", 67.27804359383308)","(""Prizrak Battalion 'Ghost' Brigade"", 66.76184596388332)"
" ""SPK""","(""' 'Sparkling Wine Plant Novy Svet'"", 76.0)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 68.79432624113475)","('Sovkombank', 62.22222222222222)","('P Sberbank of Russia', 60.55555555555555)","('Prizrak Brigade', 60.0)"
" ""PGS-Service Logistics""","(""Donbass People's Militia"", 65.47619047619048)","(""State enterprise 'Universal-Avia'"", 64.38300051203278)","(""Donbas People's Militia"", 62.552423421988635)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 61.98527720266851)","(""People's Union"", 61.64021164021164)"
"""Academy of Libra"" Private","('Almaz-Antey Defense Corporation', 69.2831541218638)","(' Almaz-Antey Corporation', 67.8566354077863)","(""Donbas People's Militia"", 66.243961352657)","('Almaz-Antey Corp', 65.6517094017094)","('Black Sea Bank of Development and Reconstruction', 64.38492063492063)"
" ""SBSB - Klychavto Az-Stakeholder","('C VAD Aktsionernoe Obshchestvo VAD', 65.36108696352105)","('Black Sea Bank of Development and Reconstruction', 63.69731800766284)","('Black Sea Bank Development and Reconstruction', 63.419540229885065)","(""Prizrak Battalion 'Ghost' Brigade"", 63.3218195655992)","('Army of the Southeast', 62.53762999452655)"
 Kirillov Pavel Nikolaevich,"('Tactical Missiles Corporation ', 61.82029177718833)","(""Azovsky likerovodochny zavod'"", 61.172161172161175)","("" 'VO TPE'"", 60.85470085470086)","('Otkritie', 60.47008547008548)","(""' 'Sparkling Wine Plant Novy Svet'"", 60.29160382101559)"
" ""Atlanta""","('Almaz-Antey ', 77.07792207792208)","('Battalion Gvardeysky', 73.57142857142858)","('UralVagonZavod', 69.04761904761904)","('Almaz-Antey Corp', 68.84920634920636)","('Death Battalion', 68.25396825396824)"
" ""Laksery Projects""","('Bank Rossiya', 63.888888888888886)","('Almaz-Antey Corp', 61.66666666666667)","('P Sberbank of Russia', 60.83333333333333)","('Mostotrest, P', 59.72222222222222)","('Luganskiy Ekonomicheskiy Soyuz', 59.38131313131313)"
" ""Automotive dealer Services Rus""","(""State enterprise 'Universal-Avia'"", 69.12731806139941)","(""'Federal State of Novorossiya'"", 67.38095238095238)","(""'Federativnoye Gosudarstvo Novorossiya'"", 66.56613134874004)","(' Feodosia Enterprise of oil', 66.52271704903285)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 65.89371980676329)"
" ""AGENCY YUPI""","(' Almaz-Antey Corporation', 65.00329380764164)","('Peace To Luhansk Region', 65.00329380764164)","('Luganskiy Ekonomicheskiy Soyuz', 63.1986531986532)","('UAC', 61.61616161616161)","('Narodny Soyuz', 61.34421134421135)"
" ""Kovaks""","(""Azovsky likerovodochny zavod'"", 68.25396825396824)","('Sovkombank', 60.55555555555555)","('VTB Bank (P)', 60.0)","('Bank Rossiya', 58.333333333333336)","('Vostok Battalion', 58.19444444444445)"
" ""CROU RUSAUDIT""","('P UAC', 61.92307692307693)","('P USC', 61.92307692307693)","('Cossack National Guard', 57.634032634032636)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 57.05603038936372)","(' CB IS Bank', 56.923076923076934)"
" ""MM-Color""","("" 'Mostotrest'"", 63.33333333333333)","('P Mostotrest', 61.38888888888889)","('Mostotrest, P', 61.11111111111111)","(' Almaz-Antey Corporation', 58.35921325051759)","('Movement ""Novorossiya"" of Igor Strelkov', 58.18318318318318)"
" ""CSA"" status certificant ""","('Tactical Missiles Corporation ', 69.925204861684)","('Sparta Battalion', 66.85606060606061)","(' ""United Aircraft Corporation""', 66.35307321581831)","('United Aircraft Corporation', 66.35307321581831)","('Smert Battalion', 65.35353535353535)"
" ""net company North-West""","('P Mostotrest', 71.46464646464645)","('Peace To Luhansk Region', 66.1808300395257)","('Stroygazmontazh Corporation (SGM Group)', 65.7111657111657)","('Concern Almaz-Antey', 64.82114376851219)","("" 'Lenpromtransproyekt'"", 64.82114376851219)"
 Karkavtsev Artem Olegovich,"('Peace To Luhansk Region', 64.53455964325529)","(""'Federal State of Novorossiya'"", 63.60159448394742)","('C VAD Aktsionernoe Obshchestvo VAD', 62.2846709534016)","('Black Sea Bank Development and Reconstruction', 62.12250712250712)","('Movement ""Novorossiya"" of Igor Strelkov', 61.992376992377)"
 Grechin Alexey Vladimirovich,"('The Great Don Army', 63.41269841269841)","(' Integral', 61.30952380952381)","('Integral', 61.30952380952381)","(' Zaliv Shipyard', 60.4978354978355)","('Crimean Republican Enterprise Azov Distillery Plant', 60.26653085476615)"
" ""Sprint MSK""","(""C 'Interavtomatika'"", 65.63025210084034)","('Z Interavtomatika (IA)', 63.57142857142857)","('Sberbank', 63.33333333333333)","(' Feodosia Enterprise of oil', 60.879120879120876)","(""' 'Sparkling Wine Plant Novy Svet'"", 60.55555555555555)"
" ""Service Market""","('Sberbank', 66.07142857142857)","('Russian Direct Investment Fund', 63.34554334554334)","('IS Bank', 62.38095238095238)","("" 'Lenpromtransproyekt'"", 62.249373433583955)","('Sovkombank', 61.904761904761905)"
" ""DKK Rus""","('Bank of Russia', 69.04761904761904)","('Bank Rossiya', 63.49206349206349)","('Donetsk Republic', 63.29365079365079)","(""Azovsky likerovodochny zavod'"", 56.42857142857144)","('Russia Bank', 56)"
" ""Reliable Systems""","('Industrialny Sberegatelny Bank', 64.60470085470085)","('Free Donbass', 63.888888888888886)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 62.126865671641795)","('Russian Direct Investment Fund', 60.55555555555555)","(""'Federal State of Novorossiya'"", 60.254329004329)"
" ""Hotel Company-Center""","(""P 'Chernomorneftegaz'"", 71.3157894736842)","("" 'Lenpromtransproyekt'"", 69.32330827067669)","(' Almaz-Antey Corporation', 66.7391304347826)","('Almaz-Antey Corp', 66.69871794871794)","('The Great Don Army', 66.25356125356126)"
" ""Dymin Leonid Markovich""","('Z Interavtomatika (IA)', 64.44055944055944)","(' ""United Shipbuilding Corporation""', 63.64498878730377)","('P United Shipbuilding Corporation', 62.53713606654783)","('Mir Luganschine', 62.323232323232325)","('Luganskiy Ekonomicheskiy Soyuz', 62.29352346999405)"
" ""Coloric Group""","('Mostotrest, P', 60.04273504273504)","('Fedosia Oil Products Supply Company', 58.4981684981685)","('Dobrolyot', 58.005698005698)","('Cossack National Guard', 57.634032634032636)","('Mir Luganschine', 57.31379731379732)"
 Kulkov Alexey Gennadevich,"(""So-called 'Lugansk People's Republic'"", 61.513227513227505)","('Luganskiy Ekonomicheskiy Soyuz', 61.16339869281045)","(""Azovsky likerovodochny zavod'"", 60.55182072829132)","('UralVagonZavod', 60.476190476190474)","('Kalmius Battalion', 59.6078431372549)"
" ""II""","('Industrial Savings Bank', 69.56521739130434)","(' ""United Aircraft Corporation""', 69.1358024691358)","('United Aircraft Corporation', 69.1358024691358)","('Tactical Missiles Corporation ', 68.9655172413793)","(""' 'Sparkling Wine Plant Novy Svet'"", 68.88888888888887)"
" ""Operator-CRPT""","(' ""VO Technopromexport""', 68.7154950312845)","("" 'Lenpromtransproyekt'"", 68.7154950312845)","('Stroygazmontazh Corporation (SGM Group)', 65.38776538776538)","(' Research and Production Corporation UralVagonZavod', 65.07692307692308)","('O ""VO Technopromexport""', 64.84737484737485)"
" ""AVS-TECHNOLOGI""","("" 'VO TPE'"", 65.07936507936508)","('Rostec', 65.07936507936508)","(""C 'Interavtomatika'"", 65.00155617802677)","('Cossack National Guard', 64.06926406926407)","('Luhansk Economic Union', 64.06926406926407)"
" ""SERVISAYANS-L""","('Sberbank', 66.98717948717949)","('Russia Bank', 65.58857808857809)","('Smert Battalion', 63.29059829059829)","('Promsvyazbank P', 63.29059829059829)","('Industrial Savings Bank', 62.328975372453634)"
" ""KEMILYLES GROUP""","(""So-called 'Lugansk People's Republic'"", 57.539682539682545)","('Donetsk Republic', 57.26851851851852)","('Luganskiy Ekonomicheskiy Soyuz', 56.66666666666668)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 56.13275613275612)","(""People's Union"", 56.03174603174603)"
" ""Sign-Auto""","(' \'Foreign Economic Association\' ""Technopromexport""', 64.72222222222223)","("" 'Foreign Economic Association' 'Technopromexport'"", 64.72222222222223)","("" Foreign Economic Association 'Technopromexport'"", 64.72222222222223)","('P Integral', 64.44444444444444)","(""' 'Sparkling Wine Plant Novy Svet'"", 63.51851851851852)"
Individual entrepreneur,"('Industrial Savings Bank', 66.77018633540372)","('Russian Direct Investment Fund', 66.4573268921095)","('Industrialny Sberegatelny Bank', 63.88285024154589)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 63.59098228663446)","(""Federal United Enterprise 'Crimea Railway'"", 62.667810831426394)"
" ""Pit Stop Service""","('P Mostotrest', 69.67592592592592)","('Mostotrest, P', 65.97222222222221)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 65.76086956521739)","('Peace To Luhansk Region', 61.9927536231884)","("" 'Mostotrest'"", 61.72619047619047)"
IKEA House ,"('Luganskiy Ekonomicheskiy Soyuz', 64.44444444444444)","('Peace To Luhansk Region', 63.26086956521739)","('Mir Luganschine', 62.698412698412696)","('Bank of Russia', 62.06349206349206)","('Army of the Southeast', 60.198412698412696)"
" ""I7""","('IS Bank', 54.76190476190476)","(' Integral', 54.166666666666664)","('Integral', 54.166666666666664)","('Unit 08806', 53.333333333333336)","(' CB IS Bank', 53.333333333333336)"
" ""Delicious Lunch""","('So-called ""Luhansk Guard""', 63.5024154589372)","('Kalmius Battalion', 62.61437908496732)","('Donetsk Republic', 59.44444444444444)","('Luhansk Economic Union', 59.292929292929294)","('Fedosia Oil Products Supply Company', 59.21855921855922)"
" ""Auto Help""","('Peace To Luhansk Region', 64.89533011272141)","('Almaz-Antey Corp', 62.5)","("" 'VO TPE'"", 62.03703703703704)","('Luhansk Economic Union', 60.34151034151035)","(' Almaz-Antey Corporation', 59.88037727168162)"
"P ""Rosseti Lenenergo""","(""People's Union"", 74.66165413533832)","('Peace To Luhansk Region', 68.05491990846683)","(""P 'Chernomorneftegaz'"", 67.10526315789474)","('Aktsionernoe Obshchestvo Genbank', 65.5701754385965)","(' Feodosia Enterprise of oil', 65.54655870445345)"
" ""Center Distribution""","(""State enterprise 'Universal-Avia'"", 66.88926617619316)","('Smert Battalion', 66.4327485380117)","('Russian Direct Investment Fund', 66.36050911592707)","(' ""United Aircraft Corporation""', 64.83430799220274)","('United Aircraft Corporation', 64.83430799220274)"
 Vinogradova Elena Alekseevna,"('Industrialny Sberegatelny Bank', 68.29156223893065)","('Donetskaya Narodnaya Respublika', 64.1017867248767)","(""'Federativnoye Gosudarstvo Novorossiya'"", 61.82754182754183)","(""' 'Sparkling Wine Plant Novy Svet'"", 61.7989417989418)","(' Integral', 61.30952380952381)"
 Kornilov D. S.,"(""Azovsky likerovodochny zavod'"", 61.832611832611825)","('Narodny Soyuz', 61.20268620268621)","('Russian Direct Investment Fund', 60.27777777777777)","('Bank of Russia', 59.92063492063493)","('C VAD Aktsionernoe Obshchestvo VAD', 59.52168746286394)"
" ""ECS"" Motor Transport ""","('Mostotrest, P', 71.06592238171184)","('P Mostotrest', 68.65497076023391)","('Army of the South-East', 68.145012881855)","("" 'Mostotrest'"", 68.01169590643275)","("" 'Lenpromtransproyekt'"", 66.12685560053981)"
" ""Rubwinil""","('Russian National Commercial Bank', 64.58333333333334)","('Russia Bank', 62.121212121212125)","('Russian Direct Investment Fund', 59.72222222222222)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 59.561011904761905)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 59.46649029982364)"
" ""Original Systems SPb""","("" 'Institute Giprostroymost - Saint-Petersburg'"", 65.00451671183379)","('P Integral', 63.51851851851852)","(""Donbass People's Militia"", 62.799145299145295)","('Rostec', 62.777777777777786)","('Otkritie', 62.77777777777778)"
" ""Avtotrade Krasnodar""","('Battalion Gvardeysky', 64.98650472334683)","('Donetskaya Narodnaya Respublika', 64.02447651386531)","(""Prizrak Battalion 'Ghost' Brigade"", 64.02447651386531)","('Z Interavtomatika (IA)', 63.274853801169584)","('Zarya Battalion', 63.09941520467836)"
 Elegeny Dmitry Leonidovich,"('Luganskiy Ekonomicheskiy Soyuz', 63.44729344729344)","(""People's Union"", 62.5966625966626)","('Russian Direct Investment Fund', 62.252388134741075)","(' Feodosia Enterprise of oil', 61.858974358974365)","(""' 'Sparkling Wine Plant Novy Svet'"", 61.207264957264954)"
 Tymoshenkov Alexey Konstan,"('Aktsionernoe Obshchestvo Genbank', 67.84569597069597)","('P Mostotrest', 66.16809116809117)","('Vneshekonombank', 66.06837606837607)","(""'Federal State of Novorossiya'"", 64.87586487586489)","('Donetskaya Narodnaya Respublika', 64.08732749989116)"
" ""Ligal Insight""","('Mir Luganschine', 61.59544159544159)","(' Integral', 60.256410256410255)","('Integral', 60.256410256410255)","('Industrial Savings Bank', 60.13377926421405)","(' \'Foreign Economic Association\' ""Technopromexport""', 59.71509971509972)"
" ""KULINARION-MSK""","('Narodny Soyuz', 67.94871794871794)","('Kalmius Battalion', 66.75070028011204)","('Luganskiy Ekonomicheskiy Soyuz', 65.9096459096459)","('Luhansk Economic Union', 64.06926406926407)","('Industrial Savings Bank', 63.34462638810465)"
" ""warehouse.ru""","('Army of the Southeast', 61.50793650793651)","('Army of the South-East', 60.858585858585855)","('Narodny Soyuz', 59.82905982905983)","(""Resort 'Nizhnyaya Oreanda'"", 58.333333333333336)","('Rostec', 58.333333333333336)"
" ""INTELINFO""","(' Integral', 83.6111111111111)","('Integral', 83.6111111111111)","(""International Union of Public Associations 'Great Don Army'"", 64.5224171539961)","(' ""United Shipbuilding Corporation""', 63.23178016726404)","(' ""United Aircraft Corporation""', 63.13932980599647)"
 Harutyunov A.R.,"('Almaz-Antey Corp', 62.40079365079364)","('Z Interavtomatika (IA)', 62.354497354497354)","('The Great Don Army', 62.32804232804233)","('Battalion Gvardeysky', 61.54761904761905)","('Peace To Luhansk Region', 60.39797561536693)"
Seven hundred,"(""Resort 'Nizhnyaya Oreanda'"", 61.502849002849004)","('Peace To Luhansk Region', 61.2736900780379)","('C VAD Aktsionernoe Obshchestvo VAD', 60.20156314273962)","(""People's Union"", 57.44810744810746)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 57.435897435897445)"
" ""Group Finance""","('Mir Luganschine', 67.86324786324785)","('P Integral', 62.82051282051282)","('Russian National Commercial Bank', 59.39102564102564)","('Russian Direct Investment Fund', 59.002849002849004)","(""Federal United Enterprise 'Crimea Railway'"", 58.58391608391608)"
" ""Refka""","('RDIF', 63.33333333333333)","('Free Donbass', 62.77777777777778)","('Sberbank of Russia', 62.59259259259259)","('Army of the Southeast', 58.01587301587302)","('Bank Otkritie Financial Corporation P', 57.83783783783784)"
" ""Centreksim""","(""C 'Interavtomatika'"", 65.63025210084034)","('Donetsk Republic', 64.16666666666667)","("" 'Mostotrest'"", 60.0)","('Z Interautomatica', 59.54248366013072)","(' ""VO Technopromexport""', 59.42355889724311)"
Volosospess ,"("" 'VO TPE'"", 67.67676767676768)","('Svobodny Donbass', 64.36688311688312)","(""Sobol'"", 63.78787878787878)","('O ""VO TPE""', 62.651515151515156)","(""Mostotrest;  'Mostotrest'"", 61.94083694083694)"
" ""JORNI""","('Otkritie', 65.83333333333333)","('Bank Rossiya', 62.77777777777778)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 61.48148148148148)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 61.3745704467354)","('Cossack National Guard', 57.878787878787875)"
